Spot_pk,ItemID,UserID,Rating,review,Timestamp
56659,9.81파크,e55luq,2,영상촬영이나 전체적인 시스템이 잘 되어있고 시설 관리도 신경을 많이 쓰는듯함 아무리 그래도 이 가격은 선넘었지.. ,2021.08.05.
56659,9.81파크,8pum42,2,즐기는 시간에 비해 좀 비쌈,2021.07.31.
56659,9.81파크,14gp97j,2,"두번째 방문인데 직원 많은거에 비해 안내가 미흡하고, 친절하신 분들도 많지만 친절도가 떨어지는 직원들이 있음… 깔끔하게 만들어져있고 레이싱도 재밌지만 아쉬운 점이 많음",2021.07.28.
56659,9.81파크,o4c9rv,5,,2021.07.24.
56659,9.81파크,1443aen,1,안내가 최악이네요. 직원마다 안내도 다르고 모르면 타지말라는 식입니다.,2021.07.24.
56659,9.81파크,1g9u89b,4,,2021.07.23.
56659,9.81파크,1748e6h,2,신축이고 세련된~ 눈길을 끄는곳이긴하나 루지 운전대너무뻑뻑 2회권끊어도 1번타고 내려서 다시대기후  30분기다려서 다시탑승! 총 1시간넘게소요 !평일기준 레이싱코스는 짧고 ㅠ 대략 차만멋있고  건물만멋있는? 갠적으로 윈드1947이 훨재밌네요 한번은 와볼만한곳 재방문은 놉 ,2021.07.15.
56659,9.81파크,qmuakr,4,"루지(카트 아님)와 여러 실내레포츠시설 이용 가능. 시설 깔끔. 루지 이용시 슬리퍼의 경우 1층 기념품매장에서 덧신을 구매해야하고, 물품보관함은 일일이 열어서 빈곳을 확인해야함. 루지 대기줄 길어 영업시작시간에 맞춰 가는 것이 유리. ",2021.07.14.
56659,9.81파크,sib5v9,4,레이싱은 줄이 길고 비싼거에 비하면 시간이 너무 짧아요 ㅠㅠ 그래도 재밌기는해요 그 외에도 이것저것 즐길게 많아서 놀기에 좋은 것 같아요 토요일 선셋요가도 꼭 해보세요!,2021.07.12.
56659,9.81파크,s0481o,4,가격 비싸고 재밌음 VR 개 어지러움 하지마셈  안에 게임장은 그럭저럭  무동력카트 개꿀잼 트랙 크게 차이없음 여러종류 타세요~  입장을 늦게해서 서바이벌 마지막 이용시간 2분 늦게 감 이용자가 없는데도 안해줌 ㅜㅜ 솔직히 좀 치사하다 ㅋㅋ ,2021.07.10.
56659,9.81파크,180ali0,5,또 온다 꼭,2021.07.07.
56659,9.81파크,fmc3op,4,3회 탑승+ 아케이드 게임 3회에 4만원이면 가격은 비싸지만 카트가 너무 좋고 직원분들이 친절하셔욥  1번 타는데 1분 30초 정도걸린다고 생각하시면 돼요  ???,2021.07.02.
56659,9.81파크,n22ebn,5,개꿀잼 특히 총쏘는게 너무 재밌었음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어른들 놀이공원 느낌,2021.07.01.
56659,9.81파크,14heunt,1,가격대비 비추천,2021.06.29.
56659,9.81파크,fu4hcu,5,너무 재밌었어요. 카트도 재밌고 그 갤럭시? 총 쏘는 거 제일 재밌어요.,2021.06.27.
56659,9.81파크,158e2fi,4,재밌음 하지만 레이싱 못해서 아쉬움,2021.06.27.
56659,9.81파크,1d2o9b8,5,굿 !!!!,2021.06.20.
56659,9.81파크,18lc0d0,5,잼나는곳,2021.06.19.
56659,9.81파크,edbk8i,3,,2021.06.18.
56659,9.81파크,19mve2j,5,시설 깔끔하고 재밌음,2021.06.10.
56659,9.81파크,r0verf,5,,2021.06.08.
56659,9.81파크,fkg645,5,존잼,2021.05.30.
56659,9.81파크,17jra91,4,재밌었음. 가격이 조금 비싼 것 같지만 잘 놀아서 만족.  - 카트는 생각보다 속도가 빨라서 긴장하면서 타서 그런지 못 즐겼는데 친구들은 너무 좋아함 - 활이랑 총 개존잼. 생각보다 대기시간도 적음 ,2021.05.23.
56659,9.81파크,1648s18,4,서바이벌 재미있구 카트도 잼나요 . 나머진 그닥,2021.05.20.
56659,9.81파크,tvngjp,5,다시 오고싶은 파크 예약제라 너무 좋았습니다,2021.05.20.
56659,9.81파크,10bagdp,2,건물만 좋아요,2021.05.09.
56659,9.81파크,mvothr,5,재밌다!!,2021.05.07.
56659,9.81파크,142c4sn,5,레이싱체험했는데 재밌어요 크루분들도 친절하시고 온사람들끼리 베틀도 할수있어서 재밌었어요!! 가격값해요,2021.05.05.
56659,9.81파크,1196p47,4,"실내게임 안내하는 분들 모여서 이야기하는거 빼고 좋았어요. 아예 게임 하나가 꺼져서 작동안하고 nfc 위치가 어디있는지도 직접 가야 알려주셨습니다. 그리고 레이스에서 서 계시는 분들 추울거 같아서 안쓰러웠고요 신발처럼 단체 바람막이가 필요할 거 같아보였어요, 레이스는 1/3정도 수동 2/3정도 오토라서 조금 시시했습니다. 실내게임을 하며 기다릴 수 있는 방...",2021.05.04.
56659,9.81파크,116f2nn,5,"금요일,일요일 이틀 방문했는데 거의 모든 직원들이 진짜 친절했구요,하나하나 설명 진짜 잘해주셨어요! 카트도 처음 타서인지 너무재미있었어요!! 대부분 놀이동산가서 2분타려고 3-4시간 기다리지않나요? 놀이기구타는거랑 비교하면 기다릴만합니다. 라이선스 제도도 너무 신박했고 9.81파크 덕분에 여행이 진짜 재미있었던것 같아요~ 일요일은 풀패키지 끊어서 놀았는데 ...",2021.05.02.
56659,9.81파크,k698m1,4,"평점 낮은분들의 말이 다 맞긴하지만 시스템이 상당히 잘 되있습니다. 짧지만 스릴 좋고 매치도 있고 데이터 연동을 통해 결과 기록 및 순위와 영상을 제공해주고, 출발지로 돌아갈때 인공지능?으로 복귀하는게 인상적이였어요",2021.04.30.
